{'molpath': 'hamiltonians/H4_sto-3g_singlet_H4_linear_d2.5560.hdf5', 'initialguesses': 'x0_h4_linear_2.067_perturb_all_0.txt', 'verbose': True, 'reference': 'hf'}
E_FCI V_0 V_optimized Sum_CommSq_0 Sum_CommSq_Optimized a_opt b_opt c_opt
-1.871168059873305589e+00 7.607985086725487234e-01 1.589163375982136639e-01 5.145264582576722923e-01 4.075943971942757454e-03 1.000000000000000000e+00 1.000000310740313036e+00 -1.819520669465906071e+00
-1.871168059873305589e+00 9.529620647675953737e-01 2.455042255864469392e-01 3.660863217988042928e-01 1.509344768636190857e-03 1.000000000000000000e+00 9.999617381018968132e-01 -1.013670552024314997e+00
-1.871168059873305589e+00 3.994176621754351453e-02 3.733421089215510364e-05 6.397707850261373785e-01 7.314433181536016864e-04 1.000000000000000000e+00 9.984630927071160844e-01 -1.995965069398968783e+00
-1.871168059873305589e+00 4.929587893206333060e-01 1.572523667985001317e-01 4.886953405042201992e-02 5.104424853532878691e-03 1.000000000000000000e+00 9.998070232056196494e-01 -1.765404335033299521e+00
-1.871168059873305589e+00 7.502252082560895152e-01 8.687497157119566937e-02 2.991589803278776327e-01 1.488671329446132922e-03 1.000000000000000000e+00 9.998866320387524986e-01 -1.989492373448745299e+00
-1.871168059873305589e+00 6.276984411226151916e-01 8.687442177755164141e-02 2.282234900719909421e-01 1.488671298856411845e-03 1.000000000000000000e+00 9.998350688859661828e-01 -1.989454380553857593e+00
-1.871168059873305589e+00 1.407923123008976707e-01 8.687937935698976377e-02 4.425269397230663371e-02 1.488671694449250713e-03 1.000000000000000000e+00 1.000370778509038772e+00 -1.990062217226501451e+00
-1.871168059873305589e+00 4.466334160550342047e-01 1.589156892374258001e-01 1.732813180870741709e-01 4.075944160968915028e-03 1.000000000000000000e+00 9.998948425819924601e-01 -1.819401886130439960e+00
-1.871168059873305589e+00 5.322029642171670627e-01 1.027164804482881014e-05 1.866253604608380245e-01 7.322396323071354504e-04 1.000000000000000000e+00 1.000466702785402173e+00 -1.997936584321014841e+00
-1.871168059873311362e+00 2.604905141274617142e-01 8.687537342940768181e-02 1.702484660576217002e-01 1.488671586734371596e-03 1.000000000000000000e+00 9.993967937475404240e-01 -1.989042156995535438e+00
-1.871168059873311362e+00 2.689252380217284077e-01 1.813946642081794020e-05 1.119597217842752263e-01 7.322875560527840897e-04 1.000000000000000000e+00 9.999220734914534559e-01 -1.997415627258767090e+00
